concern,skin_type,ingredients,benefits,directions,brands,notes
textured skin,dry,"salicylic acid, azelaic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Olay, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
melasma,oily,"azelaic acid, vitamin C",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, LANEIGE, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"kojic acid, vitamin C",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Augustinus Bader, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,oily,"allantoin, centella asiatica",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Farmacy, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,sensitive,"collagen, coenzyme Q10",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Avene, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
peeling skin,sensitive,"ceramides, panthenol",Helps improve peeling skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Naturium, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
body acne,dry,"benzoyl peroxide, niacinamide",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Allies of Skin, Simple",Avoid mixing strong actives; discontinue if irritation occurs
inflamed acne,sensitive,"niacinamide, tea tree oil",Helps improve inflamed acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Sisley Paris, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
oily skin,oily,"vitamin C, kojic acid",Helps improve oily skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"StriVectin, Versed, Sisley Paris",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,sensitive,"green tea, allantoin",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Allies of Skin, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,sensitive,"azelaic acid, benzoyl peroxide",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Glow Recipe, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,combination,"colloidal oatmeal, fatty acids",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Ren Clean Skincare, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,dry,"ceramides, colloidal oatmeal",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, Avene, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
chemical burn recovery,dry,"ceramides, lanolin",Helps improve chemical burn recovery; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Simple, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"centella asiatica, green tea",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Olay, Sulwhasoo, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,sensitive,"collagen, peptides",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, LANEIGE, Babor",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,dry,"niacinamide, salicylic acid",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Shiseido, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,combination,"glycerin, panthenol",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Peach & Lily, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
psoriasis,sensitive,"fatty acids, lanolin",Helps improve psoriasis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, CeraVe, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
flaky skin,dry,"ceramides, hyaluronic acid",Helps improve flaky skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, Drunk Elephant, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,oily,"AHA, kojic acid",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, Good Molecules, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
back acne,sensitive,"azelaic acid, benzoyl peroxide",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Paula's Choice, Glow Recipe, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,combination,"azelaic acid, benzoyl peroxide",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Clarins, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,normal,"kojic acid, azelaic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, La Mer, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
razor bumps,normal,"hyaluronic acid, glycerin",Helps improve razor bumps; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Versed, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
cystic acne,oily,"niacinamide, tea tree oil",Helps improve cystic acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Kiehl's, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,oily,"green tea, calendula",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Farmacy, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,combination,"green tea, aloe vera",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"The Ordinary, Peter Thomas Roth, Biossance",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,sensitive,"collagen, retinol",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, 111Skin, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
peeling skin,sensitive,"glycerin, panthenol",Helps improve peeling skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, Neutrogena, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
body acne,oily,"azelaic acid, salicylic acid",Helps improve body acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Youth to the People, Murad",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,normal,"niacinamide, tea tree oil",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Estee Lauder, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,normal,"kojic acid, arbutin",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Ren Clean Skincare, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,dry,"cholesterol, colloidal oatmeal",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Youth to the People, Simple",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,normal,"collagen, bakuchiol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Simple, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
scarring,dry,"colloidal oatmeal, cholesterol",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Simple, Sulwhasoo",Avoid mixing strong actives; discontinue if irritation occurs
damaged skin barrier,combination,"lanolin, ceramides",Helps improve damaged skin barrier; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Guerlain, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
inflamed acne,normal,"benzoyl peroxide, azelaic acid",Helps improve inflamed acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Simple, Avene",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,sensitive,"bakuchiol, collagen",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Cosrx, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,combination,"green tea, allantoin",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Peter Thomas Roth, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
large pores,sensitive,"azelaic acid, niacinamide",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, La Roche Posay, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,normal,"aloe vera, green tea",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Neutrogena, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,dry,"calendula, centella asiatica",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Peter Thomas Roth, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
puffy eyes,combination,"allantoin, centella asiatica",Helps improve puffy eyes; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, La Roche Posay, Vichy",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,combination,"green tea, calendula",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Drunk Elephant, Simple, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
